Crop_Type,Soil_Type,Farm_Size_Acres,Irrigation_Available,Soil_pH,Soil_Nitrogen,Soil_Organic_Matter,Temperature,Rainfall,Humidity,Compatible
summer paddy,Red and Yellow soils,79.83823177248526,0,5.178289826127368,198.8704856002525,1.458549585855654,20.1721428955031,1861.6357254220984,57.92433182399832,0
Kulthi,Alluvial soils,33.93279558960007,1,4.862698602451796,27.781680058372032,2.5303169466499247,33.6469191337207,1400.435778843122,53.261910267568496,0
Arhar,Laterite soils,59.67320614065922,1,7.691356939114829,62.50009416906705,4.656399040733203,22.53580528020785,574.3080279398159,65.54726295459537,0
Gram,Alluvial soils,50.00026123679417,0,6.482151098976444,134.6550934041149,2.268047913230172,25.672080725354608,1900.397114875201,34.97299367767471,0
summer paddy,Red and Yellow soils,94.62805798082712,0,6.054077761514732,69.89488864653119,1.448071195104331,14.366488012584846,1568.615247079987,25.95354424957857,0
Pea,Red and Yellow soils,75.00988896935692,1,8.302511707936532,75.76852810653317,2.017827631423144,16.986863321979012,1489.7787610779942,21.90785856781124,0
Arhar,Red and Yellow soils,73.32372051816132,0,5.984033548259163,179.6025385614506,2.8156757568582806,31.826657062626644,1572.511911160034,46.69921202390027,0
Arhar,Black soils,5.5889736739936735,1,5.1678909041887575,120.07724195756134,3.193632637698069,39.31126709559042,1386.4604435291171,86.26282788160098,0
Gram,Black soils,47.23215393627967,0,5.455866134354386,69.06389128919815,3.913412807931361,11.625951574662356,656.5128673508175,72.43911195285935,0
Maize,Alluvial soils,92.85638439401326,0,6.494965118253219,24.45109153488943,3.1300402194801804,14.286740596011876,1921.8293119273733,86.16145385917888,0
Rice,Black soils,26.47685683076369,0,5.666020495818296,115.6646873549576,3.492716603052593,23.3733562580275,719.4877041618382,49.54360749263152,0
Mustard,Laterite soils,27.713511875818337,0,6.564244688745447,42.92095731143804,4.3831351607505376,31.97718588678821,1588.927672079575,53.20575486663145,0
Urd,Black soils,41.72327863926854,1,7.177173699787156,172.85187850477018,4.395598566226937,14.97797373847446,964.0711467364335,45.1678769496922,0
Rice,Red and Yellow soils,25.093601627231227,1,7.609195142853031,119.68966502673496,1.4157874053594417,32.52463409777544,1833.5498885322147,32.696086364159235,0
Mustard,Alluvial soils,85.88406981842928,0,5.322362865825443,67.16637608862061,3.72488387468747,33.23629536281729,1337.3947943382652,83.46800550517118,0
Mustard,Red and Yellow soils,56.26937591598767,0,4.963598876971015,127.1041567748641,1.15633828967383,26.7291284233881,631.3253015037385,76.97128971690195,0
Masoor,Red and Yellow soils,86.2749091767001,1,6.669800636405004,73.74468045682737,4.292464266765133,28.07569533774589,303.54213159761105,23.34041128134269,0
Millets,Red and Yellow soils,83.2823417749659,1,5.29564716483258,107.5035670328516,1.3121143790509908,17.462411980748684,1561.801328272929,40.94013205010326,0
Groundnut,Laterite soils,28.92219312417744,1,4.839734887086053,182.77883598971977,4.096757404736858,31.60569210783484,321.7579210952707,61.4459908682883,0
Kulthi,Black soils,55.22600698810312,0,6.608377371917669,76.50683439619289,1.2265959048055224,35.32043104756897,1499.2367443744224,42.90295642799253,0
Kulthi,Alluvial soils,9.238552571266975,1,5.807176740431181,73.81584386925971,3.838003415649505,36.13872423456466,1199.8871515312844,30.508321699678483,0
Pea,Black soils,91.60993651904508,0,7.524596047754015,165.75379984941276,1.166665904989987,10.88359157852834,1676.0426833223396,57.6854168220373,0
Maize,Red and Yellow soils,39.97394220501312,0,8.414868548223255,24.81208538667453,1.1458226006243235,39.686150025507445,1174.753319480434,69.69260094533394,0
Niger,Black soils,30.972781691177367,0,7.534092765042832,44.37954130512403,1.7182179334698338,27.60746969658668,1305.5084972311697,89.99070403520125,0
